Codigo: RKYJ2783204, Peso: 26618, Peso Busca: 23, Diferença: 99.91%
Codigo: OZSJ1816062, Peso: 10509, Peso Busca: 79, Diferença: 99.25%
Codigo: ZUEZ2042440, Peso: 14414, Peso Busca: 89, Diferença: 99.38%
Codigo: OEEJ3389453, Peso: 26248, Peso Busca: 90, Diferença: 99.66%
Codigo: FRKZ7461925, Peso: 17058, Peso Busca: 43, Diferença: 99.75%
Codigo: ROAU6343494, Peso: 13599, Peso Busca: 0, Diferença: 100.00%
Codigo: FKLZ3181275, Peso: 21390, Peso Busca: 29, Diferença: 99.86%
Codigo: MAAU3455344, Peso: 16774, Peso Busca: 14, Diferença: 99.92%
Codigo: ACOZ3231060, Peso: 11097, Peso Busca: 79, Diferença: 99.29%
Codigo: JFQZ9646348, Peso: 29856, Peso Busca: 35, Diferença: 99.88%
Codigo: XAHU1757523, Peso: 20167, Peso Busca: 83, Diferença: 99.59%
Codigo: NGUJ9437736, Peso: 28675, Peso Busca: 89, Diferença: 99.69%
Codigo: TZZJ9009182, Peso: 29561, Peso Busca: 94, Diferença: 99.68%
Codigo: BLJZ5031332, Peso: 16533, Peso Busca: 90, Diferença: 99.46%
Codigo: ERIU9061255, Peso: 28854, Peso Busca: 11, Diferença: 99.96%
Codigo: DKIJ3803190, Peso: 16213, Peso Busca: 19, Diferença: 99.88%
Codigo: TBFU9171280, Peso: 15693, Peso Busca: 35, Diferença: 99.78%
Codigo: VTNZ6186827, Peso: 29884, Peso Busca: 11, Diferença: 99.96%
Codigo: UCEZ3470897, Peso: 19070, Peso Busca: 83, Diferença: 99.56%
Codigo: HTBZ2172290, Peso: 12518, Peso Busca: 37, Diferença: 99.70%
Codigo: ABFJ5191817, Peso: 11819, Peso Busca: 63, Diferença: 99.47%
Codigo: IGOZ8354779, Peso: 14221, Peso Busca: 26, Diferença: 99.82%
Codigo: HISJ6766791, Peso: 19353, Peso Busca: 65, Diferença: 99.66%
Codigo: TEBU2221679, Peso: 27847, Peso Busca: 13, Diferença: 99.95%
Codigo: OJJJ7745185, Peso: 15994, Peso Busca: 20, Diferença: 99.87%
Codigo: YMOJ6180528, Peso: 15023, Peso Busca: 67, Diferença: 99.55%
